timestamp,region,carbon_intensity,temperature,cpu_usage,workload,energy_consumption,cost
31/3/2006 22:00,India,328.89,9.472222222,35.94,51.38,25.35,0.12
31/3/2006 23:00,India,497.39,9.355555556,39.97,54.19,27.72,0.12
1/4/2006 0:00,India,421.8,9.377777778,32.1,57.02,23.01,0.12
1/4/2006 1:00,India,382.21,8.288888889,30.65,47.32,21.71,0.11
1/4/2006 2:00,India,259.9,8.755555556,37.63,50.44,26.08,0.13
1/4/2006 3:00,India,247.93,9.222222222,33.57,45.71,23.83,0.12
1/4/2006 4:00,India,224.24,7.733333333,45.72,61.19,30.53,0.14
1/4/2006 5:00,India,454.01,8.772222222,32.05,48.73,22.74,0.15
1/4/2006 6:00,India,396.04,10.82222222,57.8,70.19,39.01,0.12
1/4/2006 7:00,India,426.81,13.77222222,52.62,76.17,37.08,0.12
1/4/2006 8:00,India,229.41,16.01666667,51.64,65.16,37.39,0.11
1/4/2006 9:00,India,550,17.14444444,68.37,84.57,47.88,0.13
1/4/2006 10:00,India,550,17.8,60.14,80.92,43.2,0.12
1/4/2006 11:00,India,390.46,17.33333333,82.17,109.54,56.24,0.15
1/4/2006 12:00,India,368.65,18.87777778,86.88,168.38,59.68,0.12
1/4/2006 13:00,India,388.42,18.91111111,68.68,136.94,48.77,0.11
1/4/2006 14:00,India,407.25,15.38888889,61.61,79.94,43.12,0.11
1/4/2006 15:00,India,480.86,15.55,65.83,126.63,45.72,0.11
1/4/2006 16:00,India,459.61,14.25555556,63.19,108.06,43.62,0.14
1/4/2006 17:00,India,387.17,13.14444444,78.37,151.98,52.28,0.13
1/4/2006 18:00,India,509.19,11.55,83.37,102.43,54.64,0.15
1/4/2006 19:00,India,240.3,11.18333333,33.54,59.68,24.6,0.12
1/4/2006 20:00,India,309.18,10.11666667,47.24,61.68,32.39,0.11
1/4/2006 21:00,India,326.85,10.2,58.81,71.97,39.37,0.13
9/4/2006 22:00,India,340.48,10.42222222,58.14,87.7,39.05,0.12
9/4/2006 23:00,India,447.27,9.911111111,47.4,67.59,32.4,0.14
10/4/2006 0:00,India,270.75,11.18333333,46.78,88.25,32.54,0.11
10/4/2006 1:00,India,361.24,7.155555556,36.5,68.82,24.76,0.12
10/4/2006 2:00,India,399.59,6.111111111,45.22,88.86,29.58,0.11
10/4/2006 3:00,India,220,6.788888889,59.29,107.2,38.29,0.12
10/4/2006 4:00,India,394.9,7.261111111,37.21,63.44,25.23,0.14
10/4/2006 5:00,India,256.87,7.8,49.62,84.45,32.89,0.14
10/4/2006 6:00,India,236.65,9.872222222,32.24,59.21,23.29,0.14
10/4/2006 7:00,India,517.29,12.22222222,44.36,84.93,31.5,0.13
10/4/2006 8:00,India,536.46,15.09444444,34.03,49.79,26.46,0.11
10/4/2006 9:00,India,550,17.35555556,65.64,79.73,46.33,0.12
10/4/2006 10:00,India,420.11,19.00555556,76.11,145.45,53.27,0.11
10/4/2006 11:00,India,369.73,20.04444444,80.99,159.47,56.61,0.12
10/4/2006 12:00,India,550,21.05,89.51,163.4,62.13,0.12
10/4/2006 13:00,India,464.78,21.18333333,82.34,103.65,57.88,0.15
10/4/2006 14:00,India,365.92,20.11666667,65.25,91.1,47.2,0.13
10/4/2006 15:00,India,500.21,20.21666667,66.68,105.49,48.09,0.12
10/4/2006 16:00,India,340.59,20,71.46,104.39,50.88,0.13
10/4/2006 17:00,India,550,17.8,90,137.79,61.12,0.13
10/4/2006 18:00,India,417.04,16.06111111,83.97,152.51,56.81,0.13
10/4/2006 19:00,India,453.72,15.02222222,55.21,81.46,39.13,0.11
10/4/2006 20:00,India,309.33,14.42222222,40.81,68.67,30.25,0.12
10/4/2006 21:00,India,385.85,14.25555556,56.39,112.75,39.54,0.11
10/4/2006 22:00,India,403.59,13.77222222,46.08,91.27,33.16,0.14
10/4/2006 23:00,India,249.89,13.28333333,47.1,64.58,33.57,0.11
11/4/2006 0:00,India,530.77,8.633333333,32.5,44.5,22.95,0.13
11/4/2006 1:00,India,439.15,11.25,59.89,100.36,40.43,0.12
11/4/2006 2:00,India,526.61,11.18333333,54.74,80.95,37.32,0.15
11/4/2006 3:00,India,499.03,10.69444444,37.97,48.21,27.06,0.15
11/4/2006 4:00,India,396.29,11.11111111,58.24,75.1,39.39,0.14
11/4/2006 5:00,India,493.19,11.11111111,53.95,94.48,36.81,0.13
11/4/2006 6:00,India,220,12.16666667,36.28,58.72,26.63,0.12
11/4/2006 7:00,India,265.14,12.75555556,33.3,43.48,25.08,0.13
11/4/2006 8:00,India,220,13.83888889,32.23,43.9,24.87,0.1
11/4/2006 9:00,India,421.04,16.18333333,66.77,124.56,46.54,0.11
11/4/2006 10:00,India,447.94,17.51666667,81.2,158.17,55.73,0.12
11/4/2006 11:00,India,422.64,17.38333333,88.98,112.27,60.34,0.13
11/4/2006 12:00,India,550,17.36111111,62.67,95.33,44.55,0.15
11/4/2006 13:00,India,437.2,17.20555556,86.43,124.83,58.74,0.14
11/4/2006 14:00,India,413.95,15.63333333,86.1,137.68,57.91,0.14
11/4/2006 15:00,India,483.19,13.57777778,66.07,116.96,45.07,0.13
11/4/2006 16:00,India,352.88,10.91111111,81.59,144.11,53.32,0.11
11/4/2006 17:00,India,550,8.8,75.26,127.63,48.68,0.11
11/4/2006 18:00,India,338.99,8.961111111,82.58,142.9,53.13,0.13
11/4/2006 19:00,India,509.81,8.2,32.87,39.6,23,0.12
11/4/2006 20:00,India,452.49,7.688888889,48.33,63.92,32.07,0.12
11/4/2006 21:00,India,248.46,7.766666667,33.94,55.91,23.47,0.15
11/4/2006 22:00,India,220,8.2,59.54,73.19,39,0.12
11/4/2006 23:00,India,471.61,8.177777778,45.98,90.74,30.86,0.13
12/4/2006 0:00,India,426.39,7.311111111,38.42,56.46,25.98,0.13
12/4/2006 1:00,India,444.97,7.644444444,57.16,73.74,37.35,0.11
12/4/2006 2:00,India,454.6,6.622222222,43.62,56.22,28.82,0.15
12/4/2006 3:00,India,222.02,6.683333333,36.08,56.97,24.32,0.12
12/4/2006 4:00,India,295.83,6.088888889,38.93,59.36,25.79,0.15
12/4/2006 5:00,India,240.39,6.066666667,41.73,64.25,27.46,0.13
12/4/2006 6:00,India,486.76,6.144444444,30.61,50.47,20.82,0.13
12/4/2006 7:00,India,392.45,7.133333333,44.69,71.73,29.67,0.12
12/4/2006 8:00,India,307.98,7.205555556,52.37,96.16,34.3,0.14
12/4/2006 9:00,India,300.98,7.566666667,80.59,100.34,51.38,0.15
12/4/2006 10:00,India,388.69,8.9,75.33,107.49,48.76,0.11
12/4/2006 11:00,India,414.8,9.961111111,66.18,79.99,43.69,0.1
12/4/2006 12:00,India,550,9.888888889,65.74,98.69,43.4,0.11
12/4/2006 13:00,India,525.27,11.06666667,65.43,126.97,43.68,0.12
12/4/2006 14:00,India,550,10.11666667,81.92,147.48,53.2,0.13
12/4/2006 15:00,India,468.03,11.03888889,60.72,114.74,40.85,0.12
12/4/2006 16:00,India,350.47,10.65,82.86,143.22,53.98,0.15
12/4/2006 17:00,India,535.81,10.05,62.37,78.65,41.44,0.14
12/4/2006 18:00,India,550,9.9,60.34,92.49,40.16,0.12
12/4/2006 19:00,India,387.5,8.794444444,47.43,65.88,31.98,0.1
12/4/2006 20:00,India,467.7,7.827777778,56.21,77.1,36.86,0.13
12/4/2006 21:00,India,363.98,7.855555556,56.21,110.6,36.87,0.11
12/4/2006 22:00,India,390.22,7.316666667,47.8,77.54,31.61,0.11
12/4/2006 23:00,India,327.94,7.244444444,48.17,86.77,31.8,0.11
13/4/2006 0:00,India,220,5.438888889,36.5,72.96,24.08,0.15
13/4/2006 1:00,India,247.46,7.2,46.09,77.24,30.53,0.13
13/4/2006 2:00,India,220,6.688888889,51.05,77.48,33.31,0.12
13/4/2006 3:00,India,387.02,6.211111111,41.08,78.26,27.13,0.12
13/4/2006 4:00,India,295.61,6.111111111,54.15,97.82,34.93,0.11
13/4/2006 5:00,India,363.53,6.111111111,33.02,59.13,22.26,0.11
13/4/2006 6:00,India,511.18,6.172222222,57.93,109.13,37.23,0.1
13/4/2006 7:00,India,268.64,7.222222222,42.13,61.6,28.17,0.11
13/4/2006 8:00,India,304.66,7.288888889,37.51,45.45,25.42,0.13
13/4/2006 9:00,India,550,7.405555556,62.29,113.61,40.34,0.11
13/4/2006 10:00,India,379.65,7.961111111,77.21,129.22,49.51,0.11
13/4/2006 11:00,India,334.2,8.033333333,74.1,120.63,47.67,0.14
13/4/2006 12:00,India,392,9.077777778,71.61,95.45,46.6,0.11
13/4/2006 13:00,India,339.46,9.05,71.25,119.19,46.37,0.15
13/4/2006 14:00,India,550,9.05,62.83,87.95,41.32,0.13
13/4/2006 15:00,India,550,9.183333333,71.29,126.07,46.45,0.15
13/4/2006 16:00,India,534.81,9.072222222,73.99,95.72,48.02,0.15
13/4/2006 17:00,India,550,7.983333333,81.1,147.06,51.85,0.14
13/4/2006 18:00,India,550,8.072222222,85.16,164.83,54.32,0.15
13/4/2006 19:00,India,264.03,7.894444444,43.39,55.14,29.19,0.12
13/4/2006 20:00,India,498.11,7.311111111,42.83,72.16,28.62,0.15
13/4/2006 21:00,India,385.96,7.338888889,38.34,64.31,25.94,0.14
13/4/2006 22:00,India,446.81,6.622222222,32.63,42.22,22.23,0.15
13/4/2006 23:00,India,484.35,6.066666667,55.88,104.36,35.95,0.11
14/4/2006 0:00,India,307.53,8.338888889,36.75,63.5,25.39,0.15
14/4/2006 1:00,India,225.86,5.183333333,44.49,81.91,28.77,0.13
14/4/2006 2:00,India,236.02,3.722222222,52.13,63.48,32.77,0.11
14/4/2006 3:00,India,334.64,4.855555556,53.44,97.05,34.01,0.15
14/4/2006 4:00,India,462.35,5.211111111,45.33,90.13,29.28,0.11
14/4/2006 5:00,India,468.62,6.255555556,50.28,96.89,32.67,0.11
14/4/2006 6:00,India,220,7.794444444,38.99,65.83,26.51,0.12
14/4/2006 7:00,India,343.9,10.05,33.01,40.66,23.83,0.13
14/4/2006 8:00,India,359.39,12.2,39.85,55.29,28.79,0.11
14/4/2006 9:00,India,387.93,12.7,78.74,122.23,52.32,0.12
14/4/2006 10:00,India,348.13,13.93333333,89.47,161.22,59.26,0.1
14/4/2006 11:00,India,450.11,15.09444444,61.04,108.36,42.66,0.12
14/4/2006 12:00,India,550,15.15,65,98.98,45.06,0.13
14/4/2006 13:00,India,422.49,16.17777778,64.96,121.63,45.45,0.1
14/4/2006 14:00,India,506.98,16.25,67.54,84.47,47.02,0.14
14/4/2006 15:00,India,543.29,16.29444444,60.1,116.24,42.58,0.1
14/4/2006 16:00,India,434.59,16.1,83.13,128.33,56.32,0.12
14/4/2006 17:00,India,550,12.95555556,83.62,132.59,55.35,0.11
14/4/2006 18:00,India,550,13.85,76.08,100.26,51.19,0.1
14/4/2006 19:00,India,287.32,12.77777778,32.3,64.51,24.49,0.12
14/4/2006 20:00,India,370.11,12.15,54.01,82.35,37.27,0.11
14/4/2006 21:00,India,299.98,10.67777778,41.39,52.99,29.11,0.15
14/4/2006 22:00,India,292.56,10.44444444,31.82,48.21,23.27,0.1
14/4/2006 23:00,India,220,9.822222222,55.05,83.65,36.96,0.12
15/4/2006 0:00,India,400.11,11.02777778,32.39,51.75,23.85,0.14
15/4/2006 1:00,India,355.18,7.138888889,31.24,46.87,21.6,0.12
15/4/2006 2:00,India,220,7.622222222,35.81,47.51,24.53,0.11
15/4/2006 3:00,India,305.18,7.627777778,44,66.47,29.45,0.1
15/4/2006 4:00,India,477.94,7.044444444,37.11,67.35,25.08,0.15
15/4/2006 5:00,India,267.7,8.6,40.86,71.47,27.96,0.14
15/4/2006 6:00,India,258.28,9.65,41.8,63.31,28.94,0.13
15/4/2006 7:00,India,385.03,12.10555556,58.79,86.26,40.12,0.12
15/4/2006 8:00,India,541.52,12.77777778,33.91,66.41,25.46,0.11
15/4/2006 9:00,India,403.02,13.81111111,67.41,101.54,45.97,0.13
15/4/2006 10:00,India,546.69,16.01666667,63.46,113.29,44.48,0.14
15/4/2006 11:00,India,550,17.12777778,77.46,112.85,53.33,0.11
15/4/2006 12:00,India,409.15,17.14444444,79.68,135.21,54.67,0.13
15/4/2006 13:00,India,550,17.77777778,84.6,107.29,57.87,0.13
15/4/2006 14:00,India,457.83,17.77777778,77.06,125.82,53.35,0.13
15/4/2006 15:00,India,546.05,17.80555556,71.1,128.45,49.78,0.1
15/4/2006 16:00,India,524.99,16.15555556,74.14,89.07,50.95,0.12
15/4/2006 17:00,India,494.08,14.05,67.75,128.89,46.27,0.13
15/4/2006 18:00,India,324.23,13.08888889,84.48,134.65,55.92,0.11
15/4/2006 19:00,India,493.31,12.28888889,36.03,66.55,26.53,0.14
15/4/2006 20:00,India,309.12,12.77777778,46.94,85.43,33.28,0.12
15/4/2006 21:00,India,246.07,12.72777778,55.73,68.52,38.53,0.11
15/4/2006 22:00,India,220,12.26666667,36.12,51.17,26.58,0.15
15/4/2006 23:00,India,409.22,11.71111111,50.34,69.67,34.89,0.14
16/4/2006 0:00,India,422.52,10.82777778,41.93,57.93,29.49,0.14
16/4/2006 1:00,India,220,12.2,48.68,63.91,34.09,0.11
16/4/2006 2:00,India,366.21,12.2,33.43,48.44,24.94,0.15
16/4/2006 3:00,India,266.4,11.68888889,50.85,81.67,35.19,0.13
16/4/2006 4:00,India,418.34,11.20555556,30.7,46.12,22.9,0.11
16/4/2006 5:00,India,248.84,11.13333333,42.25,53.24,29.8,0.1
16/4/2006 6:00,India,429.9,11.43888889,45.85,75.99,32.09,0.11
16/4/2006 7:00,India,318.7,13.03333333,57.82,73.37,39.91,0.12
16/4/2006 8:00,India,521.73,17.24444444,58.36,81.77,41.91,0.14
16/4/2006 9:00,India,378.94,17.73888889,77.94,113.3,53.86,0.14
16/4/2006 10:00,India,423.47,17.84444444,75.31,119.37,52.32,0.15
16/4/2006 11:00,India,360.24,18.86111111,61.11,108.7,44.21,0.13
16/4/2006 12:00,India,550,18.66666667,68.23,109.23,48.4,0.14
